"MASS","PLUM","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","KOOI","DAG","MAAND","JAAR","WEEKNR","CODE","DATE","jdate","PTOT"
120,1,5,5,5,5,5,5,5,5,5,5,"  8",15,11,1994,46,"k183",1994-11-15,318,50
124,1,5,5,5,5,5,5,5,5,5,5,"  8",22,11,1994,47,"k183",1994-11-22,325,50
130,1,5,5,5,5,5,5,5,5,5,5,"  8",29,11,1994,48,"k183",1994-11-29,332,50
136,1,5,5,5,5,5,5,5,5,5,5,"  8",6,12,1994,49,"k183",1994-12-06,339,50
135,1,5,5,5,5,5,5,5,5,5,5,"  8",13,12,1994,50,"k183",1994-12-13,346,50
133,1,5,5,5,5,5,5,5,5,5,5,"  8",20,12,1994,51,"k183",1994-12-20,353,50
137,1,5,5,5,5,5,5,5,5,5,5,"  8",27,12,1994,52,"k183",1994-12-27,360,50
139,1,0,0,0,0,0,0,0,0,0,0,"  8",3,1,1995,1,"k183",1995-01-03,2,0
141,1,0,0,0,0,0,0,0,0,0,0,"  8",10,1,1995,2,"k183",1995-01-10,9,0
135,1,0,0,0,0,0,0,0,0,0,0,"  8",17,1,1995,3,"k183",1995-01-17,16,0
142,1,0,0,0,0,0,0,0,0,0,0,"  8",24,1,1995,4,"k183",1995-01-24,23,0
140,1,0,0,0,0,0,0,0,0,0,0,"  8",31,1,1995,5,"k183",1995-01-31,30,0
138,1,0,0,0,0,0,0,0,0,0,0,"  8",7,2,1995,6,"k183",1995-02-07,37,0
132,1,0,0,0,0,0,0,0,0,0,0,"  8",14,2,1995,7,"k183",1995-02-14,44,0
135,1,0,0,0,0,0,0,0,0,0,0,"  8",21,2,1995,8,"k183",1995-02-21,51,0
132,1,0,0,0,0,0,0,0,0,0,0,"  8",28,2,1995,9,"k183",1995-02-28,58,0
131,1,0,0,0,0,0,0,0,0,0,0,"  8",7,3,1995,10,"k183",1995-03-07,65,0
121,1,0,0,0,0,0,0,0,0,0,0,"  8",14,3,1995,11,"k183",1995-03-14,72,0
121,1,0,0,0,0,0,0,0,0,0,0,"  8",21,3,1995,12,"k183",1995-03-21,79,0
123,1,0,0,0,0,0,0,0,0,0,0,"  8",28,3,1995,13,"k183",1995-03-28,86,0
120,1,0,0,0,0,0,0,0,0,0,0,"  8",4,4,1995,14,"k183",1995-04-04,93,0
122,1,0,0,0,0,0,0,0,0,0,0,"  8",11,4,1995,15,"k183",1995-04-11,100,0
122,1,0,0,0,0,0,0,0,0,0,0,"  8",18,4,1995,16,"k183",1995-04-18,107,0
117,1,0,0,0,0,0,0,0,0,0,0,"  8",25,4,1995,17,"k183",1995-04-25,114,0
126,1,0,0,0,0,0,0,0,0,0,0,"  8",2,5,1995,18,"k183",1995-05-02,121,0
144,1,0,0,0,0,0,0,0,0,0,0,"  8",9,5,1995,19,"k183",1995-05-09,128,0
